Date,Open,High,Low,Close,Adj Close,Volume
1/29/93,43.96875,43.96875,43.75,43.9375,25.627342,1003200
2/1/93,43.96875,44.25,43.96875,44.25,25.80962,480500
2/2/93,44.21875,44.375,44.125,44.34375,25.864292,201300
2/3/93,44.40625,44.84375,44.375,44.8125,26.137709,529400
2/4/93,44.96875,45.09375,44.46875,45,26.247068,531500
2/5/93,44.96875,45.0625,44.71875,44.96875,26.228849,492100
2/8/93,44.96875,45.125,44.90625,44.96875,26.228849,596100
2/9/93,44.8125,44.8125,44.5625,44.65625,26.046576,122100
2/10/93,44.65625,44.75,44.53125,44.71875,26.083023,379600
2/11/93,44.78125,45.125,44.78125,44.9375,26.210611,19500
2/12/93,44.875,44.875,44.59375,44.59375,26.010111,42500
2/16/93,44.46875,44.46875,43.40625,43.46875,25.353939,374800
2/17/93,43.46875,43.53125,43.28125,43.4375,25.335718,210900
2/18/93,43.9375,43.9375,42.8125,43.40625,25.317488,378100
2/19/93,43.40625,43.5625,43.34375,43.5625,25.408619,34900
2/22/93,43.6875,43.78125,43.5625,43.71875,25.499763,513600
2/23/93,43.84375,43.875,43.46875,43.6875,25.481543,373700
2/24/93,43.71875,44.25,43.71875,44.25,25.80962,26300
2/25/93,44.21875,44.375,44.125,44.34375,25.864292,44500
2/26/93,44.4375,44.4375,44.1875,44.40625,25.900751,66200
3/1/93,44.5625,44.5625,44.21875,44.28125,25.827848,66500
3/2/93,44.3125,44.9375,44.25,44.9375,26.210611,182400
3/3/93,45,45.15625,44.9375,45.125,26.31999,280100
3/4/93,45.1875,45.1875,44.875,44.875,26.174166,89500
3/5/93,44.9375,45.125,44.71875,44.75,26.101248,40000
3/8/93,44.84375,45.75,44.84375,45.75,26.684504,50800
3/9/93,45.65625,45.6875,45.5,45.59375,26.593382,169300
3/10/93,45.59375,45.6875,45.40625,45.6875,26.648054,194400
3/11/93,45.71875,45.84375,45.5,45.5625,26.575151,70900
3/12/93,45.1875,45.21875,44.8125,45.09375,26.301765,643600
3/15/93,45.0625,45.3125,45.0625,45.3125,26.429342,310800
3/16/93,45.3125,45.4375,45.3125,45.3125,26.429342,30800
3/17/93,45.25,45.25,44.96875,45.03125,26.265291,21800
3/18/93,45.21875,45.5,45.21875,45.3125,26.429342,59300
3/19/93,45.28125,45.28125,45.03125,45.03125,26.389345,66900
3/22/93,44.59375,44.875,44.5625,44.78125,26.242844,183400
3/23/93,44.90625,44.9375,44.8125,44.875,26.297777,55200
3/24/93,44.8125,45.0625,44.59375,44.875,26.297777,37200
3/25/93,44.90625,45.25,44.84375,45.15625,26.462605,110100
3/26/93,45.125,45.15625,44.875,44.90625,26.316093,101500
3/29/93,44.9375,45.3125,44.9375,45.09375,26.425976,87100
3/30/93,45.15625,45.21875,45.09375,45.21875,26.499212,56000
3/31/93,45.34375,45.46875,45.1875,45.1875,26.4809,111600
4/1/93,45.25,45.25,44.9375,45.03125,26.389345,129500
4/2/93,44.65625,44.65625,44.09375,44.09375,25.839941,59400
4/5/93,44.4375,44.4375,44.1875,44.3125,25.968143,172200
4/6/93,44.40625,44.40625,44.0625,44.1875,25.89488,129700
4/7/93,44.25,44.34375,44.15625,44.34375,25.986446,28000
4/8/93,44.53125,44.53125,44.09375,44.28125,25.949833,180800
4/12/93,44.71875,44.9375,44.65625,44.90625,26.316093,348500
4/13/93,44.875,45.15625,44.84375,45,26.371033,146100
4/14/93,45.03125,45.0625,44.90625,44.9375,26.334389,119600
4/15/93,44.90625,45.03125,44.75,44.9375,26.334389,148600
4/16/93,44.96875,45.03125,44.875,44.9375,26.334389,47900
4/19/93,44.9375,45.0625,44.71875,44.75,26.224524,157000
4/20/93,44.6875,44.75,44.25,44.53125,26.09634,279500
4/21/93,44.625,44.625,44.375,44.5,26.078018,67900
4/22/93,44.3125,44.6875,43.9375,43.9375,25.74839,97700
4/23/93,43.84375,43.96875,43.6875,43.75,25.6385,106000
4/26/93,43.78125,43.9375,43.28125,43.40625,25.437052,62600
4/27/93,43.34375,43.875,43.34375,43.875,25.711769,156800
4/28/93,43.8125,43.90625,43.71875,43.78125,25.65683,85900
4/29/93,43.875,43.96875,43.625,43.96875,25.766693,85000
4/30/93,44.125,44.28125,44.03125,44.03125,25.803322,88500
5/3/93,44.09375,44.3125,43.90625,44.3125,25.968143,80500
5/4/93,44.40625,44.625,44.34375,44.46875,26.059708,149100
5/5/93,44.46875,44.75,44.46875,44.59375,26.132957,109000
5/6/93,44.53125,44.5625,44.40625,44.4375,26.041397,54700
5/7/93,44.46875,44.46875,44.28125,44.34375,25.986446,68000
5/10/93,44.40625,44.6875,44.40625,44.4375,26.041397,113900
5/11/93,44.4375,44.625,44.3125,44.625,26.151268,42600
5/12/93,44.4375,44.59375,44.4375,44.5625,26.114664,31000
5/13/93,44.375,44.375,44,44.03125,25.803322,129100
5/14/93,44.03125,44.15625,43.96875,44,25.785017,63500
5/17/93,44.125,44.15625,43.9375,44.15625,25.876581,34000
5/18/93,44.1875,44.21875,43.96875,44.125,25.858261,105200
5/19/93,44.125,45.03125,43.84375,45.03125,26.389345,50200
5/20/93,45.03125,45.15625,44.9375,45.15625,26.462605,98200
5/21/93,45.1875,45.25,44.71875,44.75,26.224524,221400
5/24/93,44.84375,45.09375,44.84375,44.9375,26.334389,30500
5/25/93,45.125,45.125,45.03125,45.03125,26.389345,191800
5/26/93,45.15625,45.625,45.125,45.59375,26.718992,102400
5/27/93,45.65625,45.65625,45.375,45.4375,26.627426,53800
5/28/93,45.40625,45.40625,45,45.21875,26.499212,79100
6/1/93,45.375,45.8125,45.3125,45.65625,26.755606,28300
6/2/93,45.53125,45.75,45.34375,45.59375,26.718992,20300
6/3/93,45.5,45.5,45.34375,45.4375,26.627426,21600
6/4/93,45.3125,45.3125,45.09375,45.28125,26.535854,32000
6/7/93,45.375,45.375,45.125,45.125,26.444281,121400
6/8/93,45,45,44.71875,44.71875,26.206209,104500
6/9/93,44.875,45.0625,44.8125,44.875,26.297777,43300
6/10/93,44.84375,44.9375,44.75,44.90625,26.316093,17900
6/11/93,45.0625,45.15625,44.90625,45.09375,26.425976,647400
6/14/93,45.15625,45.1875,45.03125,45.03125,26.389345,64200
6/15/93,45.09375,45.125,44.9375,44.9375,26.334389,142400
6/16/93,44.9375,45.03125,44.8125,45.03125,26.389345,330900
6/17/93,45.125,45.1875,45.03125,45.1875,26.4809,37400
6/18/93,44.84375,44.84375,44.5,44.5,26.262846,58500
6/21/93,44.625,44.625,44.53125,44.59375,26.318172,29300
6/22/93,44.65625,44.65625,44.5625,44.625,26.336597,137500
6/23/93,44.625,44.625,44.21875,44.21875,26.096851,227600
6/24/93,44.34375,44.8125,44.34375,44.8125,26.447266,243700
6/25/93,44.78125,44.90625,44.75,44.78125,26.428825,44800
6/28/93,45,45.28125,44.9375,45.28125,26.723928,439900
6/29/93,45.21875,45.21875,45,45.0625,26.594818,207500
6/30/93,45.125,45.21875,45,45.0625,26.594818,437600
7/1/93,45.125,45.125,44.875,44.9375,26.521027,605700
7/2/93,44.78125,44.8125,44.53125,44.6875,26.373491,285400
7/6/93,44.625,44.75,44.15625,44.21875,26.096851,246400
7/7/93,44.1875,44.40625,44.1875,44.34375,26.170622,343700
7/8/93,44.375,44.9375,44.3125,44.84375,26.465712,248200
7/9/93,44.84375,44.96875,44.75,44.96875,26.539497,378200
7/12/93,44.90625,44.96875,44.84375,44.9375,26.521027,373700
7/13/93,44.96875,45.09375,44.65625,44.90625,26.502613,389600
7/14/93,44.9375,45.1875,44.90625,45.0625,26.594818,617300
7/15/93,45.03125,45.03125,44.78125,44.875,26.484156,443800
7/16/93,44.90625,44.9375,44.6875,44.75,26.410387,216400
7/19/93,44.75,44.75,44.59375,44.71875,26.391939,188200
7/20/93,44.6875,44.84375,44.46875,44.84375,26.465712,68500
7/21/93,44.78125,44.8125,44.65625,44.8125,26.447266,142700
7/22/93,44.75,44.8125,44.5,44.5,26.262846,632400
7/23/93,44.59375,44.71875,44.5625,44.71875,26.391939,286200
7/26/93,44.84375,45.0625,44.84375,44.96875,26.539497,121300
7/27/93,45,45.03125,44.78125,44.9375,26.521027,92800
7/28/93,44.84375,44.9375,44.78125,44.84375,26.465712,30800
7/29/93,44.9375,45.21875,44.875,45.09375,26.613264,331000
7/30/93,45.09375,45.09375,44.78125,44.84375,26.465712,75300
8/2/93,44.90625,45.125,44.90625,44.96875,26.539497,41300
8/3/93,45.0625,45.1875,44.84375,45,26.557928,81600
8/4/93,45,45.09375,44.875,45,26.557928,434000
8/5/93,45,45,44.84375,44.90625,26.502613,36800
8/6/93,45.03125,45.0625,44.90625,44.96875,26.539497,402300
8/9/93,45.09375,45.34375,45,45.21875,26.687019,828200
8/10/93,45.1875,45.21875,45.125,45.1875,26.66857,604900
8/11/93,45.15625,45.3125,45.15625,45.1875,26.66857,542200
8/12/93,45.3125,45.3125,44.90625,45.0625,26.594818,303700
8/13/93,45.09375,45.15625,45.09375,45.125,26.631699,103500
8/16/93,45.15625,45.5,45.15625,45.375,26.779245,241800
8/17/93,45.34375,45.53125,45.34375,45.53125,26.871452,369300
8/18/93,45.6875,45.875,45.65625,45.78125,27.019012,414300
8/19/93,45.8125,45.8125,45.71875,45.78125,27.019012,28500
8/20/93,45.6875,45.8125,45.65625,45.8125,27.037449,80700
8/23/93,45.625,45.75,45.625,45.71875,26.982119,15600
8/24/93,45.71875,46.21875,45.71875,46.21875,27.277187,273400
8/25/93,46.21875,46.4375,46.15625,46.25,27.295649,242300
8/26/93,46.28125,46.53125,46.09375,46.28125,27.314087,120000
8/27/93,46.15625,46.25,46.15625,46.25,27.295649,25700
8/30/93,46.28125,46.5,46.28125,46.4375,27.406313,183500
8/31/93,46.40625,46.5625,46.34375,46.5625,27.48008,66500
9/1/93,46.40625,46.59375,46.40625,46.5,27.443192,136500
9/2/93,46.53125,46.59375,46.3125,46.34375,27.350988,472400
9/3/93,46.3125,46.4375,46.25,46.375,27.369442,630500
9/7/93,46.375,46.4375,46,46.0625,27.185001,196400
9/8/93,46.0625,46.0625,45.59375,45.90625,27.092777,269900
9/9/93,45.71875,46.03125,45.71875,46,27.148104,239200
9/10/93,46.125,46.4375,46.0625,46.40625,27.387878,106500
9/13/93,46.5625,46.5625,46.4375,46.4375,27.406313,66900
9/14/93,46.3125,46.3125,46.09375,46.25,27.295649,184500
9/15/93,46.0625,46.40625,45.90625,46.375,27.369442,101000
9/16/93,46.3125,46.34375,46.15625,46.1875,27.258781,54300
9/17/93,45.875,45.90625,45.75,45.8125,27.205906,200900
9/20/93,45.875,45.96875,45.4375,45.4375,26.983217,57800
9/21/93,45.5,45.5625,44.8125,45.28125,26.890417,318200
9/22/93,45.4375,45.71875,45.375,45.65625,27.113123,439700
9/23/93,45.78125,45.9375,45.71875,45.90625,27.261585,88500
9/24/93,45.84375,45.875,45.71875,45.78125,27.187346,53500
9/27/93,46.125,46.28125,46.125,46.28125,27.48428,274600
9/28/93,46.3125,46.3125,46.15625,46.1875,27.428623,158300
9/29/93,46.1875,46.3125,45.96875,46.03125,27.335812,221000
9/30/93,46.03125,46.125,45.84375,45.9375,27.280157,99300
10/1/93,45.875,46.21875,45.8125,46.15625,27.410059,22700
10/4/93,46.21875,46.21875,46.09375,46.21875,27.447159,1038500
10/5/93,46.3125,46.3125,46,46.15625,27.410059,436500
10/6/93,46.1875,46.375,46.125,46.125,27.391481,209200
10/7/93,46.1875,46.1875,45.96875,46,27.317263,59400
10/8/93,46.125,46.15625,45.71875,46.0625,27.354378,54400
10/11/93,46.15625,46.25,46.15625,46.15625,27.410059,467100
10/12/93,46.21875,46.25,46.1875,46.21875,27.447159,26200
10/13/93,46.25,46.25,46.15625,46.21875,27.447159,139100
10/14/93,46.40625,46.8125,46.28125,46.8125,27.79977,108100
10/15/93,47.03125,47.15625,46.90625,47.0625,27.948221,1502500
10/18/93,47.03125,47.03125,46.875,46.9375,27.873993,722400
10/19/93,46.875,46.96875,46.59375,46.59375,27.669855,880100
10/20/93,46.75,46.75,46.5625,46.65625,27.706984,230400
10/21/93,46.6875,46.6875,46.53125,46.59375,27.669855,56200
10/22/93,46.65625,46.84375,46.375,46.375,27.539968,390700
10/25/93,46.40625,46.5625,46.28125,46.5,27.614193,114500
10/26/93,46.46875,46.5,46.3125,46.46875,27.595625,186200
10/27/93,46.40625,46.53125,46.40625,46.5,27.614193,118400
10/28/93,46.5625,46.96875,46.5625,46.84375,27.818316,129600
10/29/93,46.8125,46.875,46.78125,46.84375,27.818316,80700
11/1/93,46.78125,47,46.78125,46.96875,27.892553,36400
11/2/93,46.90625,47,46.65625,46.9375,27.873993,262100
11/3/93,46.90625,46.90625,46.125,46.34375,27.521397,479100
11/4/93,46.34375,46.34375,45.8125,45.84375,27.224468,130400
11/5/93,45.71875,46.0625,45.53125,46.0625,27.354378,363200
11/8/93,46.09375,46.25,45.96875,46.125,27.391481,367600
11/9/93,46.4375,46.46875,46.125,46.15625,27.410059,246900
11/10/93,46.15625,46.5,46.03125,46.5,27.614193,46500
11/11/93,46.5,46.625,46.34375,46.375,27.539968,88900
11/12/93,46.46875,46.75,46.4375,46.59375,27.669855,108200
11/15/93,46.6875,46.6875,46.4375,46.5625,27.651289,243300
11/16/93,46.65625,46.8125,46.46875,46.78125,27.781204,492600
11/17/93,46.8125,46.8125,46.40625,46.53125,27.632727,39600
11/18/93,46.46875,46.5625,46.28125,46.40625,27.558531,240800
11/19/93,46.25,46.375,46.21875,46.3125,27.50284,106000
11/22/93,46.1875,46.21875,45.875,46.03125,27.335812,165300
11/23/93,46.28125,46.3125,46.03125,46.28125,27.48428,89700
11/24/93,46.40625,46.5,46.34375,46.46875,27.595625,77200
11/26/93,46.59375,46.59375,46.46875,46.5,27.614193,1019800
11/29/93,46.625,46.71875,46.3125,46.3125,27.50284,517500
11/30/93,46.28125,46.5625,46.25,46.34375,27.521397,230000
12/1/93,46.59375,46.625,46.40625,46.40625,27.558531,379200
12/2/93,46.5,46.5625,46.40625,46.53125,27.632727,352000
12/3/93,46.5,46.71875,46.5,46.71875,27.744095,306000
12/6/93,46.78125,46.9375,46.78125,46.875,27.836874,99500
12/7/93,46.875,46.90625,46.78125,46.84375,27.818316,88800
12/8/93,46.84375,46.84375,46.78125,46.84375,27.818316,146700
12/9/93,46.84375,46.90625,46.625,46.6875,27.725531,416500
